area,class,evi,lat,lon,lst_day,lst_night,time,day
13738155.090966346,no_fire,0.216975,33.40885416366645,-117.076049505619,307.4875,289.22875,2018-06-26,0
12020885.704595553,no_fire,0.2429571428571429,36.14166666342105,-118.23665371638191,305.82000000000005,283.66285714285715,2018-06-26,0
545233030.1727269,no_fire,0.3985037795275591,41.05574146612935,-121.92355077474474,300.7171023622047,291.5319370078741,2018-06-26,0
41214465.27289904,no_fire,0.2650875,35.721354163458784,-118.66032887532644,310.8870833333333,290.7420833333333,2018-06-26,0
85863469.31853966,no_fire,0.202601,37.484083329967156,-120.41142624445592,317.2914,294.0682,2018-06-26,0
4293173.465926983,no_fire,0.22653,36.06749999676104,-121.28697268401268,314.836,290.684,2018-07-04,8
5151808.15911238,no_fire,0.36225,35.52499999680976,-118.55510234895168,307.93,291.18,2018-07-04,8
60104428.52297776,no_fire,0.2486814285714286,38.90916666317252,-122.60497994059165,310.032,290.41485714285716,2018-07-04,8
3434538.7727415864,no_fire,0.38775,39.88541666308485,-121.55269390618376,302.89,288.89,2018-07-04,8
2575904.07955619,no_fire,0.31621666666666665,41.20138888518889,-122.69458748704723,298.92,287.41333333333336,2018-07-04,8
41214465.27289904,no_fire,0.12062500000000002,41.746354162917726,-120.65592406518566,316.22541666666666,293.34458333333333,2018-07-12,16
8586346.931853967,no_fire,0.3109000000000001,38.314166663225954,-122.35917211893562,306.608,287.3180000000001,2018-07-12,16
2575904.07955619,no_fire,0.5546333333333333,36.95972221890313,-120.5429242126608,306.62,294.3533333333333,2018-07-12,16
25759040.7955619,no_fire,0.16734666666666664,41.09388888519854,-120.04213905497222,312.67333333333335,290.6273333333333,2018-07-12,16
10303616.31822476,no_fire,0.3022,41.458333329610255,-122.65589819508533,306.5733333333334,292.0316666666667,2018-07-12,16
3434538.7727415864,no_fire,0.2152875,35.537499996808634,-118.58125483030649,315.63000000000005,294.755,2018-07-20,24
25759040.7955619,no_fire,0.4242266666666667,40.61583332968592,-123.00779803176307,307.83466666666664,295.5660000000001,2018-07-20,24
26617675.48874729,no_fire,0.3854274193548387,41.44153225434295,-123.40382163376208,304.46129032258074,294.08580645161294,2018-07-20,24
8586346.931853967,no_fire,0.150365,33.94999999695119,-117.86762040197316,316.324,292.1760000000001,2018-07-20,24
6869077.545483173,no_fire,0.4213875,40.88020832966217,-121.86217043898802,305.11,291.0925,2018-07-20,24
9444981.625039363,no_fire,0.31122727272727274,37.148863633027574,-120.79432862080586,311.36909090909086,290.8654545454546,2018-07-28,32
34345387.72741587,no_fire,0.24525500000000003,34.25249999692403,-118.2188967199475,311.8180000000001,294.098,2018-07-28,32
4293173.465926983,no_fire,0.28168000000000004,36.62583333004422,-118.74359208613356,302.916,287.408,2018-07-28,32
18889963.250078727,no_fire,0.32464090909090915,40.3397727236501,-121.57035870930008,301.74363636363637,288.0190909090909,2018-07-28,32
4293173.465926983,no_fire,0.20646,36.49249999672286,-121.57599955155649,314.72,290.796,2018-07-28,32
6010442.852297776,no_fire,0.16767142857142855,39.039880948875066,-121.36314155603253,314.32000000000005,293.55428571428575,2018-08-05,40
11162251.011410156,no_fire,0.25158846153846154,36.99198717616519,-118.79308323796988,302.4476923076923,285.98615384615385,2018-08-05,40
13738155.090966346,no_fire,0.16400312500000006,36.19999999674914,-120.99159671739285,322.175,285.7725000000001,2018-08-05,40
86722104.01172505,no_fire,0.2845460396039604,40.37603134950943,-121.20099603750113,303.08059405940594,288.04,2018-08-05,40
47224908.12519682,no_fire,0.3676372727272727,39.965681814592784,-121.30741739581805,304.4600000000001,289.95236363636366,2018-08-05,40
41214465.27289904,no_fire,0.17366250000000005,36.17430555230701,-118.86098519432177,314.8541666666667,296.51416666666665,2018-08-13,48
234407271.2396133,no_fire,0.3137948717948718,35.8765415108197,-119.20215257628557,311.8647619047619,293.8276923076923,2018-08-13,48
10303616.31822476,no_fire,0.054275,34.19097221915178,-114.99982564838874,330.085,306.8783333333334,2018-08-13,48
9444981.625039363,no_fire,0.07751818181818182,35.052651512003685,-116.12095209532072,327.4618181818182,304.3036363636364,2018-08-13,48
289359891.60347867,no_fire,0.30955133531157275,35.71020029352903,-119.27205195761127,311.98534124629083,294.8569732937685,2018-08-13,48
8586346.931853967,no_fire,0.158605,36.48083333005725,-121.09130618071892,310.744,286.51200000000006,2018-08-21,56
21465867.32963492,no_fire,0.19773000000000004,38.16349999657282,-119.29676897254387,305.8008000000001,283.088,2018-08-21,56
5151808.15911238,no_fire,0.2691333333333333,34.27499999692201,-117.70217749719588,303.99333333333334,289.2233333333333,2018-08-21,56
3434538.7727415864,no_fire,0.2434,37.868749996599284,-120.1991578858662,308.74,288.92,2018-08-21,56
25759040.7955619,no_fire,0.37426,39.48249999645436,-121.27090380329271,300.52866666666665,288.71666666666675,2018-08-21,56
85863469.31853966,no_fire,0.370859,39.524833329783895,-120.8721410304115,300.2062,289.17980000000006,2018-08-29,64
3434538.7727415864,no_fire,0.242325,36.897916663353136,-121.68526981044249,301.63,287.04,2018-08-29,64
20607232.63644952,no_fire,0.2695125,38.9298611076151,-121.24902474418842,309.18083333333334,290.1375,2018-08-29,64
3434538.7727415864,no_fire,0.2828,39.25208332980839,-123.21312114355379,305.35,288.79,2018-08-29,64
5151808.15911238,no_fire,0.4475333333333334,39.14166666315163,-123.384951060179,297.48333333333335,287.5566666666667,2018-08-29,64
85863469.31853966,no_fire,0.274255,40.82574999633373,-121.68936126472302,299.78,286.7332,2018-09-06,72
