mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.002579402923583984,0.000188706183225805,0.0007475852966308594,6.741145243820936e-05,0.1,2.0,0.01,linear,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'linear', 'max_iter': 100000}",0.6282051282051282,0.5769230769230769,0.5064935064935064,0.5194805194805194,0.5974025974025974,0.5658914728682171,0.046208833860109134,375
0.0045135498046875,0.0008565841764625266,0.002186441421508789,0.0021230395456466157,0.1,2.0,0.01,rbf,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 100000}",0.5128205128205128,0.5128205128205128,0.5064935064935064,0.5064935064935064,0.5064935064935064,0.5090439276485789,0.0031035274634571785,1149
0.0024367332458496093,0.00027857725428654577,0.0008288860321044922,0.00017977068212902177,0.1,2.0,0.01,poly,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}",0.5128205128205128,0.5128205128205128,0.5064935064935064,0.5064935064935064,0.5064935064935064,0.5090439276485789,0.0031035274634571785,1149
0.0021505832672119142,0.00013798602919266138,0.0006886005401611328,6.317244778769384e-05,0.1,2.0,0.019573417814876606,linear,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.019573417814876606, 'kernel': 'linear', 'max_iter': 100000}",0.6282051282051282,0.5769230769230769,0.5064935064935064,0.5194805194805194,0.5974025974025974,0.5658914728682171,0.046208833860109134,375
0.003977155685424805,0.00016701343823188246,0.0010796070098876953,3.349977025987841e-05,0.1,2.0,0.019573417814876606,rbf,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.019573417814876606, 'kernel': 'rbf', 'max_iter': 100000}",0.5128205128205128,0.5128205128205128,0.5064935064935064,0.5064935064935064,0.5064935064935064,0.5090439276485789,0.0031035274634571785,1149
0.0024214267730712892,0.00020126761538029475,0.0007660388946533203,6.485143126644098e-05,0.1,2.0,0.019573417814876606,poly,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.019573417814876606, 'kernel': 'poly', 'max_iter': 100000}",0.5128205128205128,0.5128205128205128,0.5064935064935064,0.5064935064935064,0.5064935064935064,0.5090439276485789,0.0031035274634571785,1149
0.002214384078979492,0.0002681802464509614,0.0006352424621582031,2.3420715126993446e-05,0.1,2.0,0.03831186849557289,linear,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.03831186849557289, 'kernel': 'linear', 'max_iter': 100000}",0.6282051282051282,0.5769230769230769,0.5064935064935064,0.5194805194805194,0.5974025974025974,0.5658914728682171,0.046208833860109134,375
0.004063034057617187,0.0001623038815693235,0.001160001754760742,8.18322029810812e-05,0.1,2.0,0.03831186849557289,rbf,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.03831186849557289, 'kernel': 'rbf', 'max_iter': 100000}",0.5512820512820513,0.5384615384615384,0.5584415584415584,0.5844155844155844,0.5844155844155844,0.5633074935400517,0.018318798972397812,980
0.0021892070770263674,3.295334628677867e-05,0.0007285594940185547,5.894744960702815e-05,0.1,2.0,0.03831186849557289,poly,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.03831186849557289, 'kernel': 'poly', 'max_iter': 100000}",0.5128205128205128,0.5128205128205128,0.5064935064935064,0.5064935064935064,0.5064935064935064,0.5090439276485789,0.0031035274634571785,1149
0.0021280288696289063,0.00010722143416988106,0.0006559848785400391,4.310766149671575e-05,0.1,2.0,0.07498942093324558,linear,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.07498942093324558, 'kernel': 'linear', 'max_iter': 100000}",0.6282051282051282,0.5769230769230769,0.5064935064935064,0.5194805194805194,0.5974025974025974,0.5658914728682171,0.046208833860109134,375
0.0038526058197021484,0.00011457782741601356,0.0010469913482666015,9.20382184329589e-06,0.1,2.0,0.07498942093324558,rbf,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.07498942093324558, 'kernel': 'rbf', 'max_iter': 100000}",0.6153846153846154,0.5641025641025641,0.5324675324675324,0.5584415584415584,0.6103896103896104,0.5762273901808785,0.0318561804089567,355
0.002524852752685547,0.00019366229144583938,0.0008317470550537109,2.4253908513056455e-05,0.1,2.0,0.07498942093324558,poly,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.07498942093324558, 'kernel': 'poly', 'max_iter': 100000}",0.5128205128205128,0.5128205128205128,0.5194805194805194,0.4935064935064935,0.5064935064935064,0.5090439276485789,0.00876060665151371,1149
0.0024352073669433594,7.29481374862022e-05,0.0007624626159667969,8.961494415919119e-06,0.1,2.0,0.14677992676220697,linear,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.14677992676220697, 'kernel': 'linear', 'max_iter': 100000}",0.6282051282051282,0.5769230769230769,0.5064935064935064,0.5194805194805194,0.5974025974025974,0.5658914728682171,0.046208833860109134,375
0.003968620300292968,0.00030241844132129243,0.0010481834411621093,2.0130549093242705e-05,0.1,2.0,0.14677992676220697,rbf,100000.0,"{'C': 0.1, 'degree': 2, 'gamma': 0.14677992676220697, 'kernel': 'rbf', 'max_iter': 100000}",0.6410256410256411,0.6282051282051282,0.6233766233766234,0.5454545454545454,0.6493506493506493,0.6175710594315246,0.03709584721878231,233
