area,class,evi,lat,lon,lst_day,lst_night,time,day
13738155.090966346,no_fire,0.216975,33.40885416366645,-117.076049505619,307.4875,289.22875,2018-06-26,0
12020885.704595553,no_fire,0.2429571428571429,36.14166666342105,-118.23665371638191,305.82000000000005,283.66285714285715,2018-06-26,0
545233030.1727269,no_fire,0.3985037795275591,41.05574146612935,-121.92355077474474,300.7171023622047,291.5319370078741,2018-06-26,0
41214465.27289904,no_fire,0.2650875,35.721354163458784,-118.66032887532644,310.8870833333333,290.7420833333333,2018-06-26,0
85863469.31853966,no_fire,0.202601,37.484083329967156,-120.41142624445592,317.2914,294.0682,2018-06-26,0
27476310.18193269,fire,0.29552500000000004,41.42760416294635,-121.90909596929173,302.388125,286.55562499999996,2018-06-26,0
26617675.488747295,fire,0.29464999999999997,37.79126343746645,-119.3089784813251,304.32451612903225,285.25161290322586,2018-06-26,0
42931734.65926983,fire,0.3559285714285714,39.00266666316412,-122.00570419665975,309.4408,293.5734693877551,2018-06-26,0
33486753.034230467,fire,0.29782972972972976,36.665491449698784,-121.31732666290725,307.5584615384616,288.80820512820515,2018-06-26,0
30052214.26148888,fire,0.3161461538461539,36.40654761577821,-119.08415788798499,308.0537142857143,293.1828571428571,2018-06-26,0
9444981.625039363,fire,0.41626250000000004,35.89204545132225,-119.12939746473599,315.67600000000004,294.1763636363636,2018-07-04,8
10303616.31822476,fire,0.29740909090909096,36.395138885620504,-119.30434469300626,312.3733333333334,294.22499999999997,2018-07-04,8
15455424.477337139,fire,0.34554444444444443,40.37870370007759,-123.18081093896716,307.13222222222225,288.57857142857137,2018-07-04,8
20607232.63644952,fire,0.27487500000000004,39.98506944085367,-120.37710801407106,308.36,286.02416666666664,2018-07-04,8
9444981.625039363,fire,0.2955818181818182,39.37689393585779,-121.69154944884126,310.6672727272728,291.67636363636365,2018-07-04,8
5151808.15911238,no_fire,0.36225,35.52499999680976,-118.55510234895168,307.93,291.18,2018-07-04,8
2575904.07955619,no_fire,0.31621666666666665,41.20138888518889,-122.69458748704723,298.92,287.41333333333336,2018-07-04,8
3434538.7727415864,no_fire,0.38775,39.88541666308485,-121.55269390618376,302.89,288.89,2018-07-04,8
60104428.52297776,no_fire,0.2486814285714286,38.90916666317252,-122.60497994059165,310.032,290.41485714285716,2018-07-04,8
4293173.465926983,no_fire,0.22653,36.06749999676104,-121.28697268401268,314.836,290.684,2018-07-04,8
2575904.07955619,no_fire,0.5546333333333333,36.95972221890313,-120.5429242126608,306.62,294.3533333333333,2018-07-12,16
8586346.931853967,no_fire,0.3109000000000001,38.314166663225954,-122.35917211893562,306.608,287.3180000000001,2018-07-12,16
41214465.27289904,no_fire,0.12062500000000002,41.746354162917726,-120.65592406518566,316.22541666666666,293.34458333333333,2018-07-12,16
10303616.31822476,no_fire,0.3022,41.458333329610255,-122.65589819508533,306.5733333333334,292.0316666666667,2018-07-12,16
6010442.852297776,fire,0.3725,37.67083332995038,-121.24953021080049,311.8771428571429,294.3142857142857,2018-07-12,16
11162251.011410156,fire,0.23348333333333338,34.10544871488595,-116.94709227282877,307.525,291.0307692307693,2018-07-12,16
12020885.704595553,fire,0.3240357142857143,38.91130952031518,-121.90108374780296,310.3328571428571,294.52714285714285,2018-07-12,16
6010442.852297776,fire,0.21852857142857143,38.717261901284985,-122.42614947334725,317.2285714285714,295.1085714285714,2018-07-12,16
8586346.931853967,fire,0.3101555555555555,38.16416666323941,-121.14355610943042,311.00600000000003,292.20000000000005,2018-07-12,16
25759040.7955619,no_fire,0.16734666666666664,41.09388888519854,-120.04213905497222,312.67333333333335,290.6273333333333,2018-07-12,16
42931734.65926983,fire,0.19895,38.82999999651296,-122.23809049279504,318.4604,297.1964,2018-07-20,24
119350222.35277013,fire,0.1929,41.95764388112417,-122.51921650906931,320.18417266187055,293.32474820143887,2018-07-20,24
9444981.625039363,fire,0.261575,34.459469693875135,-119.82586746895188,308.98749999999995,291.815,2018-07-20,24
10303616.31822476,fire,,34.930555552418696,-120.48493246455112,304.746,,2018-07-20,24
16314059.170522535,fire,,38.583552628114035,-122.14192999601212,316.6178947368421,294.50631578947366,2018-07-20,24
3434538.7727415864,no_fire,0.2152875,35.537499996808634,-118.58125483030649,315.63000000000005,294.755,2018-07-20,24
25759040.7955619,no_fire,0.4242266666666667,40.61583332968592,-123.00779803176307,307.83466666666664,295.5660000000001,2018-07-20,24
26617675.48874729,no_fire,0.3854274193548387,41.44153225434295,-123.40382163376208,304.46129032258074,294.08580645161294,2018-07-20,24
8586346.931853967,no_fire,0.150365,33.94999999695119,-117.86762040197316,316.324,292.1760000000001,2018-07-20,24
6869077.545483173,no_fire,0.4213875,40.88020832966217,-121.86217043898802,305.11,291.0925,2018-07-20,24
34345387.72741587,no_fire,0.24525500000000003,34.25249999692403,-118.2188967199475,311.8180000000001,294.098,2018-07-28,32
5151808.15911238,fire,0.1767,35.969444441214286,-121.30055810418052,322.26666666666665,290.9633333333333,2018-07-28,32
8586346.931853967,fire,0.0883,34.36416666358067,-116.85309233035468,,,2018-07-28,32
4293173.465926983,fire,0.19480000000000003,35.12416666351242,-118.58824180269703,315.5,288.48,2018-07-28,32
9444981.625039363,no_fire,0.31122727272727274,37.148863633027574,-120.79432862080586,311.36909090909086,290.8654545454546,2018-07-28,32
9444981.625039363,fire,,36.660984845192594,-118.2470233574902,306.27777777777777,289.3825,2018-07-28,32
4293173.465926983,no_fire,0.28168000000000004,36.62583333004422,-118.74359208613356,302.916,287.408,2018-07-28,32
