time,lat,lon,area,lst_day,lst_night,evi,class
2018-06-26,33.408854163666454,-117.07604950561898,13738155.090966346,307.4875,289.22875,0.216975,no_fire
2018-06-26,36.137575071829815,-118.22523557436625,95308450.94357902,306.8944144144145,284.38972972972977,0.23412612612612616,no_fire
2018-06-26,41.05574146612935,-121.92355077474474,545233030.1727269,300.7171023622047,291.53193700787403,0.39850377952755905,no_fire
2018-07-04,37.47968749663421,-120.40079827472307,41214465.27289904,322.6066666666667,293.77833333333336,0.16690416666666671,no_fire
2018-07-04,35.524999996809754,-118.55510234895168,5151808.15911238,307.93,291.18,0.36225,no_fire
2018-07-04,38.90916666317252,-122.60497994059163,60104428.52297776,310.032,290.41485714285716,0.2486814285714286,no_fire
2018-07-04,39.88541666308485,-121.55269390618375,3434538.7727415864,302.89,288.89,0.38775000000000004,no_fire
2018-07-12,34.37638888580179,-119.21427640113522,2575904.07955619,311.18666666666667,290.99333333333334,0.16503333333333334,no_fire
2018-07-12,41.29999999629115,-121.36765564473367,5151808.15911238,309.17,290.84,0.25523333333333337,no_fire
2018-07-12,38.31805555211449,-122.36715116234689,2575904.07955619,305.8866666666667,287.1133333333334,0.3503666666666667,no_fire
2018-07-12,36.95972221890313,-120.54292421266078,2575904.07955619,306.62,294.35333333333335,0.5546333333333333,no_fire
2018-07-12,41.09388888519854,-120.04213905497224,25759040.7955619,312.6733333333333,290.6273333333333,0.16734666666666664,no_fire
2018-07-20,35.249999996834454,-120.33788390127688,10303616.31822476,310.2916666666667,293.7233333333333,0.2366666666666667,no_fire
2018-07-20,35.477861442597124,-118.58621383406516,142533359.06877583,309.2046987951807,291.6166265060241,0.2996530120481928,no_fire
2018-07-20,40.617008193073794,-123.01042910531032,52376716.28430919,307.5157377049181,295.50163934426223,0.4107491803278689,no_fire
2018-07-28,37.766785710894155,-121.23258818315895,30052214.26148888,307.58114285714294,291.1365714285715,0.3269142857142857,no_fire
2018-07-28,39.73333332976517,-120.80729210648659,5151808.15911238,301.0533333333333,289.2066666666667,0.36518333333333336,no_fire
2018-07-28,41.69459459085031,-121.6442416346656,127077934.5914387,306.27229729729726,287.6283783783784,0.21624121621621623,no_fire
2018-07-28,40.8833333296619,-121.87123098327562,8586346.931853967,302.68199999999996,290.048,0.41832,no_fire
2018-07-28,37.15138888555259,-120.79899609358712,2575904.07955619,310.87333333333333,290.6333333333334,0.29463333333333336,no_fire
2018-08-05,34.25352563794958,-118.23672102981165,11162251.011410156,310.6230769230769,294.27076923076925,0.23093461538461538,no_fire
2018-08-05,36.62339743260855,-118.74055840981855,22324502.022820313,302.41076923076923,287.9776923076923,0.266925,no_fire
2018-08-05,40.3397727236501,-121.57085566331942,18889963.250078727,302.33,288.15636363636366,0.36366818181818183,no_fire
2018-08-13,36.48854166338989,-121.56900939774032,6869077.545483173,312.02250000000004,290.56000000000006,0.185925,no_fire
2018-08-13,39.04166666316061,-121.36467628302903,5151808.15911238,313.44,293.1133333333333,0.1702,no_fire
2018-08-13,36.970280843825456,-118.76048799739007,155412879.4665568,300.2633149171271,286.53657458563544,0.22772762430939225,no_fire
2018-08-21,36.19962120887038,-120.99265418919256,9444981.625039363,314.67636363636365,285.3454545454546,0.16093636363636363,no_fire
2018-08-21,40.376031349509425,-121.20099603750111,86722104.01172505,298.9148514851485,284.2469306930693,0.2799643564356436,no_fire
2018-08-29,37.85213414294223,-118.94420642212333,35204022.42060126,306.54048780487807,280.9878048780488,0.18793658536585367,no_fire
2018-08-29,39.66515151158947,-122.22743632037754,37779926.50015745,308.2418181818182,292.1327272727273,0.2400318181818182,no_fire
2018-08-29,41.74999999625073,-121.41045673028994,5151808.15911238,313.40000000000003,286.23999999999995,0.10763333333333334,no_fire
2018-09-06,36.16769801655403,-118.83174540859847,86722104.01172505,313.02198019801983,293.61227722772276,0.1820361386138614,no_fire
2018-09-06,35.867499996779,-119.18055009765547,4293173.465926983,308.66400000000004,291.044,0.29249,no_fire
2018-09-14,36.68270201690781,-121.38904130989755,113339779.50047235,302.0359090909091,284.9581818181818,0.24148636363636367,no_fire
2018-09-14,34.18710317153308,-114.99035287614227,18031328.55689333,327.26571428571424,300.80857142857144,0.054680952380952386,no_fire
2018-09-14,38.71830807733107,-122.00161899955401,56669889.750236176,308.0927272727273,288.28,0.18685151515151516,no_fire
2018-09-14,35.72638888568056,-119.29207272755919,2575904.07955619,306.43333333333334,287.94000000000005,0.37189999999999995,no_fire
2018-09-22,38.16302082990618,-119.29495153262438,41214465.27289904,300.94416666666666,279.03541666666666,0.18379895833333335,no_fire
2018-09-22,37.8680555521549,-120.20154377941856,2575904.07955619,308.66,289.5133333333333,0.24166666666666667,no_fire
2018-09-22,39.485416663120766,-121.27167093935267,3434538.7727415864,301.885,287.175,0.3438875,no_fire
2018-09-22,39.509083329785305,-120.83123641073396,85863469.31853966,299.48499999999996,288.63460000000003,0.34626900000000005,no_fire
2018-09-30,38.92916666317072,-121.24776902984993,22324502.022820313,301.8730769230769,287.7646153846154,0.2596653846153846,no_fire
2018-09-30,39.252083329808386,-123.21312114355379,3434538.7727415864,293.44500000000005,284.81000000000006,0.26845,no_fire
2018-09-30,39.143749996484786,-123.38860267155313,3434538.7727415864,290.045,282.71500000000003,0.390225,no_fire
2018-09-30,38.76024999651922,-119.709381760282,85863469.31853966,297.1862,280.44360000000006,0.19646899999999998,no_fire
2018-09-30,37.89305555215265,-120.20011255575868,2575904.07955619,300.76666666666665,286.90000000000003,0.18930000000000002,no_fire
2018-10-08,34.50833333023439,-119.11280288595825,5151808.15911238,299.1766666666667,281.34,0.18047500000000002,no_fire
2018-10-08,39.38472221868536,-121.48825397386814,2575904.07955619,305.4733333333333,286.74666666666667,0.154,no_fire
2018-10-08,37.91278164006782,-121.09011880306568,431893250.6722545,301.16628230616305,285.2277534791252,0.2807945328031809,no_fire
2018-10-16,38.59583332986732,-120.26604604609307,21465867.329634916,291.2848,280.3784,0.295788,no_fire
2018-10-16,40.02499999640564,-123.12868214164213,5151808.15911238,295.04333333333335,283.28,0.2762166666666667,no_fire
2018-10-16,39.84166666308877,-120.19452744451729,5151808.15911238,299.7166666666667,275.9,0.18346666666666667,no_fire
2018-10-24,38.705833329857434,-123.06927101655555,8586346.931853967,293.328,285.20400000000006,0.26138500000000003,no_fire
2018-10-24,37.906547615643504,-121.02282709983398,6010442.852297776,298.6914285714286,284.0628571428571,0.2485,no_fire
2018-10-24,36.80719696639158,-120.87766129334963,9444981.625039363,307.0618181818182,284.74545454545455,0.11990909090909091,no_fire
